Activity,Mean Error,Error Z,Mean Timing,Timing Z,Risk Reason
Δραστηριότητα 1,62.82,0.19,51.2,0.54,No risk
Δραστηριότητα 2,40.9,-0.25,33.9,0.11,No risk
Δραστηριότητα 3,76.03,0.46,22.9,-0.16,No risk
Δραστηριότητα 4,39.68,-0.27,24.1,-0.13,No risk
Δραστηριότητα 5,58.36,0.1,20.3,-0.22,No risk
Δραστηριότητα 5 α,60.96,0.16,32.1,0.07,No risk
Δραστηριότητα 5 β,62.67,0.19,23.3,-0.15,No risk
Δραστηριότητα 1 α,32.84,-0.41,28.8,-0.01,No risk
Δραστηριότητα 1 β,60.4,0.14,41.4,0.29,No risk
Δραστηριότητα 6,67.58,0.29,36.7,0.18,No risk
Δραστηριότητα 7,54.31,0.02,23.8,-0.14,No risk
Δραστηριότητα 10,41.99,-0.22,23.3,-0.15,No risk
Δραστηριότητα 11,38.3,-0.3,19.6,-0.24,No risk
Δραστηριότητα 8,68.08,0.3,34.1,0.11,No risk
Εξάρτηση περιόδου από μάζα,28.91,-0.49,19.1,-0.25,No risk
