Phase,Activity,Type,Category,Total,Correct,Wrong,% Correct,% Wrong,Avg Time,Next Low,Next Moderate,Next High
Engagement,Exploration Zone (EZ) and Regions of Interest (ROIs),Explanation,High,114,,,0.0,0.0,305.3,What defines a region of interest in a Mars exploration zone?,What defines a region of interest in a Mars exploration zone?,What defines a region of interest in a Mars exploration zone?
Engagement,Exploration Zone (EZ) and Regions of Interest (ROIs),Explanation,Moderate,85,,,0.0,0.0,241.8,What defines a region of interest in a Mars exploration zone?,What defines a region of interest in a Mars exploration zone?,What defines a region of interest in a Mars exploration zone?
Engagement,Exploration Zone (EZ) and Regions of Interest (ROIs),Explanation,Low,28,,,0.0,0.0,161.6,What defines a region of interest in a Mars exploration zone?,What defines a region of interest in a Mars exploration zone?,What defines a region of interest in a Mars exploration zone?
Engagement,What defines a region of interest in a Mars exploration zone?,Question,High,114,114,0,100.0,0.0,69.9,Guidance on the viability of Mars colonization,Human Exploration of Mars,"How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?"
Engagement,What defines a region of interest in a Mars exploration zone?,Question,Moderate,85,0,85,0.0,100.0,58.0,Guidance on the viability of Mars colonization,Human Exploration of Mars,"How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?"
Engagement,What defines a region of interest in a Mars exploration zone?,Question,Low,28,0,28,0.0,100.0,78.3,Guidance on the viability of Mars colonization,Human Exploration of Mars,"How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?"
Engagement,Guidance on the viability of Mars colonization,Guidance,High,0,,,,,,What do you think is the scientific research interest on Mars?,What do you think is the scientific research interest on Mars?,What do you think is the scientific research interest on Mars?
Engagement,Guidance on the viability of Mars colonization,Guidance,Moderate,1,,,0.0,0.0,19.0,What do you think is the scientific research interest on Mars?,What do you think is the scientific research interest on Mars?,What do you think is the scientific research interest on Mars?
Engagement,Guidance on the viability of Mars colonization,Guidance,Low,27,,,0.0,0.0,91.8,What do you think is the scientific research interest on Mars?,What do you think is the scientific research interest on Mars?,What do you think is the scientific research interest on Mars?
Engagement,Human Exploration of Mars,Explanation,High,1,,,0.0,0.0,41.0,"How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?","How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?","How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?"
Engagement,Human Exploration of Mars,Explanation,Moderate,82,,,0.0,0.0,125.6,"How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?","How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?","How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?"
Engagement,Human Exploration of Mars,Explanation,Low,27,,,0.0,0.0,111.5,"How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?","How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?","How do we maintain a permanent base camp on Mars and what do we need to learn about the planet, besides astrobiology?"
Engagement,What do you think is the scientific research interest on Mars?,Question,High,0,,,,,,Guidance on Mars exploration,Guidance on Mars exploration,Human Exploration of Mars
Engagement,What do you think is the scientific research interest on Mars?,Question,Moderate,0,,,,,,Guidance on Mars exploration,Guidance on Mars exploration,Human Exploration of Mars
